session_id,user_id,session_date,session_start,session_end,session_duration_minutes,pages_visited,source_channel,day_type,day_of_week,is_weekend,hour
S0000035,U00003,2023-07-07,2023-07-07 20:39:00,2023-07-07 21:08:00,29,1,Organic,Weekday,Friday,0,20
S0000036,U00003,2023-06-04,2023-06-04 04:43:00,2023-06-04 04:51:00,8,1,Organic,Weekend,Sunday,1,4
S0000037,U00003,2023-07-01,2023-07-01 04:42:00,2023-07-01 05:21:00,39,5,Referral,Weekend,Saturday,1,4
S0000038,U00003,2023-07-07,2023-07-07 04:36:00,2023-07-07 04:44:00,8,1,Organic,Weekday,Friday,0,4
S0000039,U00003,2023-06-04,2023-06-04 19:16:00,2023-06-04 19:23:00,7,2,Referral,Weekend,Sunday,1,19
S0000040,U00003,2023-05-20,2023-05-20 04:02:00,2023-05-20 04:28:00,26,6,Organic,Weekend,Saturday,1,4
S0000041,U00003,2023-06-14,2023-06-14 01:00:00,2023-06-14 01:43:00,43,4,Paid,Weekday,Wednesday,0,1
S0000042,U00003,2023-05-04,2023-05-04 10:21:00,2023-05-04 10:23:00,2,7,Referral,Weekday,Thursday,0,10
S0000043,U00003,2023-07-10,2023-07-10 09:20:00,2023-07-10 09:48:00,28,5,Organic,Weekday,Monday,0,9
S0000044,U00003,2023-04-05,2023-04-05 00:53:00,2023-04-05 01:22:00,29,4,Paid,Weekday,Wednesday,0,0
S0000045,U00003,2023-05-29,2023-05-29 19:21:00,2023-05-29 19:35:00,14,3,Organic,Weekday,Monday,0,19
S0000046,U00003,2023-06-08,2023-06-08 00:53:00,2023-06-08 00:54:00,1,1,Paid,Weekday,Thursday,0,0
S0000047,U00003,2023-03-30,2023-03-30 17:08:00,2023-03-30 17:09:00,1,6,Referral,Weekday,Thursday,0,17
S0000048,U00004,2023-11-23,2023-11-23 06:16:00,2023-11-23 07:03:00,47,2,Organic,Weekday,Thursday,0,6
S0000049,U00004,2023-10-27,2023-10-27 06:35:00,2023-10-27 06:45:00,10,8,Organic,Weekday,Friday,0,6
S0000050,U00004,2024-02-02,2024-02-02 09:12:00,2024-02-02 09:17:00,5,1,Referral,Weekday,Friday,0,9
S0000051,U00004,2023-11-01,2023-11-01 06:58:00,2023-11-01 07:04:00,6,1,Paid,Weekday,Wednesday,0,6
S0000052,U00004,2024-01-25,2024-01-25 21:03:00,2024-01-25 21:56:00,53,9,Paid,Weekday,Thursday,0,21
S0000053,U00004,2024-01-28,2024-01-28 08:25:00,2024-01-28 08:45:00,20,11,Referral,Weekend,Sunday,1,8
S0000054,U00004,2024-01-09,2024-01-09 12:59:00,2024-01-09 13:31:00,32,2,Referral,Weekday,Tuesday,0,12
S0000055,U00004,2023-12-19,2023-12-19 20:16:00,2023-12-19 21:00:00,44,4,Referral,Weekday,Tuesday,0,20
S0000056,U00004,2024-01-15,2024-01-15 01:18:00,2024-01-15 01:50:00,32,12,Organic,Weekday,Monday,0,1
S0000057,U00004,2024-01-27,2024-01-27 08:23:00,2024-01-27 08:30:00,7,1,Referral,Weekend,Saturday,1,8
S0000058,U00004,2023-10-12,2023-10-12 19:02:00,2023-10-12 19:07:00,5,3,Organic,Weekday,Thursday,0,19
S0000059,U00004,2023-10-31,2023-10-31 09:56:00,2023-10-31 10:30:00,34,10,Paid,Weekday,Tuesday,0,9
S0000060,U00004,2023-12-05,2023-12-05 05:40:00,2023-12-05 05:41:00,1,4,Organic,Weekday,Tuesday,0,5
S0000061,U00005,2023-11-01,2023-11-01 17:38:00,2023-11-01 17:40:00,2,3,Referral,Weekday,Wednesday,0,17
S0000062,U00005,2023-10-01,2023-10-01 03:05:00,2023-10-01 04:02:00,57,2,Referral,Weekend,Sunday,1,3
S0000063,U00005,2023-12-03,2023-12-03 23:45:00,2023-12-03 23:59:00,14,7,Paid,Weekend,Sunday,1,23
S0000064,U00005,2023-10-01,2023-10-01 00:51:00,2023-10-01 01:00:00,9,18,Referral,Weekend,Sunday,1,0
S0000065,U00005,2023-11-27,2023-11-27 06:53:00,2023-11-27 07:58:00,65,2,Paid,Weekday,Monday,0,6
S0000066,U00005,2023-11-01,2023-11-01 22:08:00,2023-11-01 22:21:00,13,2,Referral,Weekday,Wednesday,0,22
S0000067,U00005,2023-11-06,2023-11-06 04:13:00,2023-11-06 04:19:00,6,1,Referral,Weekday,Monday,0,4
S0000068,U00005,2023-09-20,2023-09-20 02:54:00,2023-09-20 03:12:00,18,4,Referral,Weekday,Wednesday,0,2
S0000069,U00005,2023-10-22,2023-10-22 05:27:00,2023-10-22 05:28:00,1,2,Organic,Weekend,Sunday,1,5
S0000070,U00005,2023-11-29,2023-11-29 11:26:00,2023-11-29 12:13:00,47,2,Organic,Weekday,Wednesday,0,11
S0000071,U00005,2023-08-25,2023-08-25 04:56:00,2023-08-25 04:59:00,3,4,Paid,Weekday,Friday,0,4
S0000072,U00005,2023-09-13,2023-09-13 10:33:00,2023-09-13 11:57:00,84,2,Paid,Weekday,Wednesday,0,10
S0000073,U00005,2023-10-24,2023-10-24 06:10:00,2023-10-24 06:32:00,22,8,Organic,Weekday,Tuesday,0,6
S0000076,U00006,2023-03-19,2023-03-19 07:24:00,2023-03-19 07:25:00,1,10,Paid,Weekend,Sunday,1,7
S0000078,U00006,2023-03-24,2023-03-24 21:09:00,2023-03-24 21:10:00,1,5,Organic,Weekday,Friday,0,21
S0000079,U00006,2023-02-23,2023-02-23 06:18:00,2023-02-23 06:40:00,22,1,Organic,Weekday,Thursday,0,6
S0000080,U00006,2023-03-07,2023-03-07 01:06:00,2023-03-07 01:20:00,14,2,Paid,Weekday,Tuesday,0,1
S0000081,U00006,2023-03-31,2023-03-31 02:59:00,2023-03-31 03:19:00,20,1,Organic,Weekday,Friday,0,2
S0000082,U00006,2023-03-09,2023-03-09 22:56:00,2023-03-09 23:19:00,23,3,Referral,Weekday,Thursday,0,22
S0000083,U00006,2023-05-04,2023-05-04 19:32:00,2023-05-04 20:27:00,55,1,Paid,Weekday,Thursday,0,19
S0000084,U00006,2023-05-23,2023-05-23 19:45:00,2023-05-23 19:53:00,8,1,Paid,Weekday,Tuesday,0,19
S0000085,U00006,2023-03-30,2023-03-30 12:34:00,2023-03-30 13:25:00,51,11,Paid,Weekday,Thursday,0,12
S0000086,U00006,2023-06-04,2023-06-04 18:47:00,2023-06-04 18:52:00,5,6,Organic,Weekend,Sunday,1,18
S0000087,U00006,2023-05-16,2023-05-16 09:22:00,2023-05-16 09:55:00,33,5,Organic,Weekday,Tuesday,0,9
S0000088,U00007,2023-12-14,2023-12-14 07:08:00,2023-12-14 07:09:00,1,12,Referral,Weekday,Thursday,0,7
S0000089,U00007,2023-12-05,2023-12-05 18:03:00,2023-12-05 18:49:00,46,6,Referral,Weekday,Tuesday,0,18
S0000090,U00007,2023-12-02,2023-12-02 09:48:00,2023-12-02 09:56:00,8,3,Paid,Weekend,Saturday,1,9
S0000091,U00007,2023-11-22,2023-11-22 19:37:00,2023-11-22 20:02:00,25,12,Organic,Weekday,Wednesday,0,19
S0000092,U00007,2023-12-03,2023-12-03 19:12:00,2023-12-03 19:55:00,43,8,Paid,Weekend,Sunday,1,19
S0000093,U00007,2023-11-18,2023-11-18 06:08:00,2023-11-18 06:28:00,20,1,Paid,Weekend,Saturday,1,6
S0000094,U00007,2023-10-10,2023-10-10 00:03:00,2023-10-10 00:06:00,3,12,Organic,Weekday,Tuesday,0,0
S0000095,U00007,2023-12-19,2023-12-19 07:04:00,2023-12-19 07:22:00,18,1,Paid,Weekday,Tuesday,0,7
S0000096,U00007,2023-09-21,2023-09-21 11:23:00,2023-09-21 11:25:00,2,6,Organic,Weekday,Thursday,0,11
S0000097,U00007,2023-09-17,2023-09-17 21:51:00,2023-09-17 21:52:00,1,1,Organic,Weekend,Sunday,1,21
S0000098,U00007,2023-10-25,2023-10-25 10:14:00,2023-10-25 10:29:00,15,6,Organic,Weekday,Wednesday,0,10
S0000099,U00007,2023-09-30,2023-09-30 23:24:00,2023-09-30 23:45:00,21,2,Referral,Weekend,Saturday,1,23
S0000100,U00007,2023-12-03,2023-12-03 00:59:00,2023-12-03 01:23:00,24,2,Paid,Weekend,Sunday,1,0
S0000101,U00007,2024-01-12,2024-01-12 22:57:00,2024-01-12 23:04:00,7,7,Organic,Weekday,Friday,0,22
S0000102,U00007,2023-12-07,2023-12-07 04:38:00,2023-12-07 04:58:00,20,10,Referral,Weekday,Thursday,0,4
S0000103,U00008,2024-02-06,2024-02-06 11:26:00,2024-02-06 11:27:00,1,3,Referral,Weekday,Tuesday,0,11
S0000104,U00008,2023-10-22,2023-10-22 17:47:00,2023-10-22 17:53:00,6,2,Paid,Weekend,Sunday,1,17
S0000105,U00008,2023-12-25,2023-12-25 18:17:00,2023-12-25 19:29:00,72,3,Paid,Weekday,Monday,0,18
S0000106,U00008,2024-01-25,2024-01-25 12:04:00,2024-01-25 12:48:00,44,5,Organic,Weekday,Thursday,0,12
S0000107,U00008,2023-11-27,2023-11-27 12:48:00,2023-11-27 13:19:00,31,4,Referral,Weekday,Monday,0,12
S0000108,U00008,2023-12-31,2023-12-31 13:17:00,2023-12-31 13:34:00,17,4,Paid,Weekend,Sunday,1,13
S0000109,U00008,2024-01-13,2024-01-13 10:44:00,2024-01-13 10:48:00,4,7,Organic,Weekend,Saturday,1,10
S0000110,U00008,2023-12-17,2023-12-17 08:06:00,2023-12-17 08:12:00,6,1,Paid,Weekend,Sunday,1,8
S0000111,U00008,2023-11-11,2023-11-11 17:55:00,2023-11-11 18:15:00,20,1,Organic,Weekend,Saturday,1,17
S0000112,U00008,2024-01-22,2024-01-22 06:53:00,2024-01-22 07:49:00,56,16,Organic,Weekday,Monday,0,6
S0000113,U00008,2024-01-25,2024-01-25 16:28:00,2024-01-25 17:17:00,49,3,Paid,Weekday,Thursday,0,16
S0000114,U00008,2024-02-10,2024-02-10 16:30:00,2024-02-10 16:31:00,1,14,Paid,Weekend,Saturday,1,16
S0000115,U00008,2023-11-02,2023-11-02 03:21:00,2023-11-02 03:32:00,11,18,Referral,Weekday,Thursday,0,3
S0000116,U00008,2023-10-31,2023-10-31 07:00:00,2023-10-31 08:06:00,66,10,Referral,Weekday,Tuesday,0,7
S0000117,U00008,2024-02-02,2024-02-02 17:49:00,2024-02-02 17:55:00,6,3,Organic,Weekday,Friday,0,17
S0000118,U00008,2024-01-10,2024-01-10 20:17:00,2024-01-10 20:55:00,38,2,Organic,Weekday,Wednesday,0,20
S0000119,U00008,2023-10-28,2023-10-28 17:46:00,2023-10-28 17:49:00,3,5,Organic,Weekend,Saturday,1,17
S0000120,U00009,2023-12-19,2023-12-19 10:39:00,2023-12-19 10:55:00,16,1,Organic,Weekday,Tuesday,0,10
S0000121,U00009,2023-10-31,2023-10-31 09:46:00,2023-10-31 10:05:00,19,24,Paid,Weekday,Tuesday,0,9
S0000122,U00009,2023-12-31,2023-12-31 04:00:00,2023-12-31 04:03:00,3,4,Organic,Weekend,Sunday,1,4
S0000123,U00009,2023-10-08,2023-10-08 21:15:00,2023-10-08 21:56:00,41,7,Referral,Weekend,Sunday,1,21
S0000124,U00009,2023-11-20,2023-11-20 18:45:00,2023-11-20 19:08:00,23,7,Referral,Weekday,Monday,0,18
S0000125,U00009,2024-01-17,2024-01-17 09:40:00,2024-01-17 09:48:00,8,2,Paid,Weekday,Wednesday,0,9
S0000126,U00009,2023-12-24,2023-12-24 11:33:00,2023-12-24 12:06:00,33,9,Organic,Weekend,Sunday,1,11
S0000127,U00009,2023-12-06,2023-12-06 23:03:00,2023-12-06 23:43:00,40,13,Organic,Weekday,Wednesday,0,23
S0000128,U00009,2023-11-30,2023-11-30 13:22:00,2023-11-30 13:36:00,14,4,Referral,Weekday,Thursday,0,13
S0000129,U00009,2023-12-26,2023-12-26 23:33:00,2023-12-27 00:05:00,32,6,Paid,Weekday,Tuesday,0,23
S0000130,U00009,2023-11-18,2023-11-18 06:45:00,2023-11-18 07:09:00,24,8,Referral,Weekend,Saturday,1,6
S0000131,U00009,2023-10-17,2023-10-17 15:53:00,2023-10-17 16:37:00,44,3,Referral,Weekday,Tuesday,0,15
S0000132,U00009,2023-12-05,2023-12-05 03:19:00,2023-12-05 03:28:00,9,1,Referral,Weekday,Tuesday,0,3
S0000133,U00009,2024-01-13,2024-01-13 15:53:00,2024-01-13 16:10:00,17,1,Organic,Weekend,Saturday,1,15
S0000134,U00009,2024-01-25,2024-01-25 21:03:00,2024-01-25 21:15:00,12,4,Organic,Weekday,Thursday,0,21
S0000135,U00009,2024-01-04,2024-01-04 22:42:00,2024-01-04 22:48:00,6,5,Paid,Weekday,Thursday,0,22
S0000136,U00009,2023-12-04,2023-12-04 16:38:00,2023-12-04 16:39:00,1,1,Paid,Weekday,Monday,0,16
S0000137,U00009,2023-12-07,2023-12-07 15:44:00,2023-12-07 16:18:00,34,3,Paid,Weekday,Thursday,0,15
S0000138,U00009,2023-12-23,2023-12-23 19:36:00,2023-12-23 19:38:00,2,4,Referral,Weekend,Saturday,1,19
S0000139,U00009,2024-01-16,2024-01-16 03:39:00,2024-01-16 04:08:00,29,2,Paid,Weekday,Tuesday,0,3
S0000140,U00009,2023-12-14,2023-12-14 15:44:00,2023-12-14 16:03:00,19,1,Referral,Weekday,Thursday,0,15
S0000141,U00009,2023-11-07,2023-11-07 18:42:00,2023-11-07 18:43:00,1,4,Organic,Weekday,Tuesday,0,18
S0000142,U00010,2023-09-30,2023-09-30 07:06:00,2023-09-30 07:31:00,25,19,Paid,Weekend,Saturday,1,7
S0000143,U00010,2023-10-29,2023-10-29 11:40:00,2023-10-29 11:54:00,14,2,Referral,Weekend,Sunday,1,11
S0000144,U00010,2023-11-11,2023-11-11 02:39:00,2023-11-11 03:10:00,31,2,Paid,Weekend,Saturday,1,2
S0000145,U00010,2023-09-01,2023-09-01 20:12:00,2023-09-01 20:23:00,11,1,Organic,Weekday,Friday,0,20
S0000146,U00010,2023-12-01,2023-12-01 15:11:00,2023-12-01 15:12:00,1,17,Organic,Weekday,Friday,0,15
S0000147,U00010,2023-11-02,2023-11-02 03:42:00,2023-11-02 04:18:00,36,6,Paid,Weekday,Thursday,0,3
S0000148,U00010,2023-09-28,2023-09-28 16:52:00,2023-09-28 17:02:00,10,1,Organic,Weekday,Thursday,0,16
S0000149,U00010,2023-11-30,2023-11-30 04:44:00,2023-11-30 04:47:00,3,2,Referral,Weekday,Thursday,0,4
S0000150,U00010,2023-11-29,2023-11-29 00:00:00,2023-11-29 00:15:00,15,7,Paid,Weekday,Wednesday,0,0
S0000151,U00010,2023-10-25,2023-10-25 09:56:00,2023-10-25 10:17:00,21,2,Organic,Weekday,Wednesday,0,9
S0000152,U00010,2023-09-13,2023-09-13 23:15:00,2023-09-14 00:16:00,61,7,Referral,Weekday,Wednesday,0,23
S0000153,U00010,2023-09-25,2023-09-25 14:50:00,2023-09-25 15:06:00,16,5,Organic,Weekday,Monday,0,14
S0000154,U00010,2023-10-31,2023-10-31 00:16:00,2023-10-31 00:26:00,10,2,Organic,Weekday,Tuesday,0,0
S0000155,U00010,2023-12-05,2023-12-05 10:02:00,2023-12-05 10:10:00,8,8,Organic,Weekday,Tuesday,0,10
S0000156,U00010,2023-08-19,2023-08-19 00:00:00,2023-08-19 00:01:00,1,1,Organic,Weekend,Saturday,1,0
S0000157,U00011,2023-04-24,2023-04-24 09:37:00,2023-04-24 10:15:00,38,7,Referral,Weekday,Monday,0,9
S0000158,U00011,2023-03-20,2023-03-20 13:27:00,2023-03-20 13:39:00,12,1,Paid,Weekday,Monday,0,13
S0000159,U00011,2023-02-21,2023-02-21 14:51:00,2023-02-21 15:04:00,13,4,Paid,Weekday,Tuesday,0,14
S0000160,U00011,2023-01-21,2023-01-21 06:25:00,2023-01-21 06:28:00,3,3,Paid,Weekend,Saturday,1,6
S0000161,U00011,2023-04-21,2023-04-21 14:14:00,2023-04-21 14:24:00,10,5,Referral,Weekday,Friday,0,14
S0000162,U00011,2023-01-20,2023-01-20 04:35:00,2023-01-20 04:55:00,20,1,Organic,Weekday,Friday,0,4
S0000163,U00012,2023-11-05,2023-11-05 16:36:00,2023-11-05 16:49:00,13,10,Organic,Weekend,Sunday,1,16
S0000164,U00012,2023-08-15,2023-08-15 04:41:00,2023-08-15 05:02:00,21,1,Paid,Weekday,Tuesday,0,4
S0000165,U00012,2023-11-27,2023-11-27 23:44:00,2023-11-27 23:45:00,1,6,Organic,Weekday,Monday,0,23
S0000166,U00012,2023-10-02,2023-10-02 17:23:00,2023-10-02 17:24:00,1,5,Paid,Weekday,Monday,0,17
S0000167,U00012,2023-09-19,2023-09-19 07:42:00,2023-09-19 08:38:00,56,5,Referral,Weekday,Tuesday,0,7
S0000168,U00012,2023-10-07,2023-10-07 08:04:00,2023-10-07 08:13:00,9,6,Referral,Weekend,Saturday,1,8
S0000169,U00012,2023-10-17,2023-10-17 12:31:00,2023-10-17 12:43:00,12,4,Paid,Weekday,Tuesday,0,12
S0000170,U00012,2023-11-03,2023-11-03 12:34:00,2023-11-03 13:30:00,56,3,Referral,Weekday,Friday,0,12
S0000171,U00012,2023-08-15,2023-08-15 04:50:00,2023-08-15 05:54:00,64,12,Paid,Weekday,Tuesday,0,4
S0000172,U00012,2023-10-03,2023-10-03 17:38:00,2023-10-03 17:42:00,4,1,Organic,Weekday,Tuesday,0,17
S0000173,U00012,2023-09-05,2023-09-05 16:07:00,2023-09-05 16:09:00,2,1,Referral,Weekday,Tuesday,0,16
S0000174,U00012,2023-08-14,2023-08-14 23:20:00,2023-08-14 23:21:00,1,6,Paid,Weekday,Monday,0,23
S0000175,U00012,2023-10-22,2023-10-22 01:48:00,2023-10-22 01:49:00,1,2,Organic,Weekend,Sunday,1,1
S0000176,U00013,2023-05-20,2023-05-20 15:29:00,2023-05-20 16:02:00,33,2,Referral,Weekend,Saturday,1,15
S0000177,U00013,2023-05-02,2023-05-02 14:22:00,2023-05-02 14:24:00,2,6,Paid,Weekday,Tuesday,0,14
S0000178,U00013,2023-04-27,2023-04-27 05:43:00,2023-04-27 06:02:00,19,11,Referral,Weekday,Thursday,0,5
S0000179,U00013,2023-04-28,2023-04-28 19:14:00,2023-04-28 19:40:00,26,9,Referral,Weekday,Friday,0,19
S0000180,U00013,2023-04-11,2023-04-11 19:33:00,2023-04-11 19:39:00,6,1,Referral,Weekday,Tuesday,0,19
S0000181,U00013,2023-06-08,2023-06-08 00:55:00,2023-06-08 01:22:00,27,9,Referral,Weekday,Thursday,0,0
S0000182,U00013,2023-03-30,2023-03-30 09:29:00,2023-03-30 11:02:00,93,3,Paid,Weekday,Thursday,0,9
S0000183,U00013,2023-07-08,2023-07-08 08:46:00,2023-07-08 08:55:00,9,8,Organic,Weekend,Saturday,1,8
S0000184,U00013,2023-07-15,2023-07-15 20:11:00,2023-07-15 20:19:00,8,14,Paid,Weekend,Saturday,1,20
S0000185,U00013,2023-07-02,2023-07-02 05:59:00,2023-07-02 06:38:00,39,3,Paid,Weekend,Sunday,1,5
S0000186,U00013,2023-04-13,2023-04-13 18:00:00,2023-04-13 18:27:00,27,8,Organic,Weekday,Thursday,0,18
S0000187,U00013,2023-04-08,2023-04-08 20:19:00,2023-04-08 20:21:00,2,12,Paid,Weekend,Saturday,1,20
S0000188,U00013,2023-06-25,2023-06-25 14:05:00,2023-06-25 14:19:00,14,9,Paid,Weekend,Sunday,1,14
S0000189,U00013,2023-06-21,2023-06-21 21:45:00,2023-06-21 21:52:00,7,12,Paid,Weekday,Wednesday,0,21
S0000190,U00013,2023-03-27,2023-03-27 21:55:00,2023-03-27 22:04:00,9,1,Organic,Weekday,Monday,0,21
S0000191,U00013,2023-04-11,2023-04-11 15:50:00,2023-04-11 16:37:00,47,1,Referral,Weekday,Tuesday,0,15
S0000192,U00013,2023-06-25,2023-06-25 18:10:00,2023-06-25 18:17:00,7,15,Paid,Weekend,Sunday,1,18
S0000193,U00013,2023-05-20,2023-05-20 08:57:00,2023-05-20 09:57:00,60,5,Organic,Weekend,Saturday,1,8
S0000194,U00013,2023-04-26,2023-04-26 15:19:00,2023-04-26 15:38:00,19,3,Referral,Weekday,Wednesday,0,15
S0000195,U00013,2023-06-16,2023-06-16 01:24:00,2023-06-16 01:30:00,6,2,Paid,Weekday,Friday,0,1
S0000196,U00014,2023-06-10,2023-06-10 14:44:00,2023-06-10 15:15:00,31,8,Paid,Weekend,Saturday,1,14
S0000197,U00014,2023-04-05,2023-04-05 09:13:00,2023-04-05 09:14:00,1,4,Referral,Weekday,Wednesday,0,9
S0000198,U00014,2023-05-07,2023-05-07 13:21:00,2023-05-07 13:22:00,1,4,Organic,Weekend,Sunday,1,13
S0000199,U00014,2023-05-26,2023-05-26 22:56:00,2023-05-26 23:07:00,11,11,Paid,Weekday,Friday,0,22
S0000200,U00014,2023-05-19,2023-05-19 23:33:00,2023-05-19 23:41:00,8,1,Organic,Weekday,Friday,0,23
S0000202,U00014,2023-04-30,2023-04-30 03:32:00,2023-04-30 03:51:00,19,1,Referral,Weekend,Sunday,1,3
S0000203,U00014,2023-03-30,2023-03-30 08:35:00,2023-03-30 08:36:00,1,7,Organic,Weekday,Thursday,0,8
S0000204,U00014,2023-03-01,2023-03-01 20:16:00,2023-03-01 20:17:00,1,9,Referral,Weekday,Wednesday,0,20
S0000205,U00014,2023-05-14,2023-05-14 04:09:00,2023-05-14 04:33:00,24,1,Referral,Weekend,Sunday,1,4
S0000206,U00014,2023-03-10,2023-03-10 12:49:00,2023-03-10 12:50:00,1,22,Referral,Weekday,Friday,0,12
S0000207,U00014,2023-06-04,2023-06-04 06:18:00,2023-06-04 06:27:00,9,3,Paid,Weekend,Sunday,1,6
S0000208,U00014,2023-03-31,2023-03-31 15:56:00,2023-03-31 16:29:00,33,15,Paid,Weekday,Friday,0,15
S0000209,U00014,2023-06-20,2023-06-20 09:26:00,2023-06-20 10:51:00,85,7,Referral,Weekday,Tuesday,0,9
S0000210,U00014,2023-05-31,2023-05-31 11:02:00,2023-05-31 11:11:00,9,1,Paid,Weekday,Wednesday,0,11
S0000211,U00014,2023-06-01,2023-06-01 02:07:00,2023-06-01 02:37:00,30,5,Organic,Weekday,Thursday,0,2
S0000212,U00014,2023-03-27,2023-03-27 09:02:00,2023-03-27 09:13:00,11,12,Organic,Weekday,Monday,0,9
S0000213,U00015,2023-05-08,2023-05-08 13:24:00,2023-05-08 13:25:00,1,4,Organic,Weekday,Monday,0,13
S0000214,U00015,2023-04-29,2023-04-29 14:43:00,2023-04-29 14:44:00,1,1,Paid,Weekend,Saturday,1,14
S0000215,U00015,2023-05-21,2023-05-21 08:50:00,2023-05-21 08:52:00,2,6,Referral,Weekend,Sunday,1,8
S0000217,U00015,2023-03-10,2023-03-10 22:17:00,2023-03-10 23:22:00,65,3,Referral,Weekday,Friday,0,22
S0000218,U00015,2023-04-09,2023-04-09 09:05:00,2023-04-09 09:11:00,6,11,Paid,Weekend,Sunday,1,9
S0000219,U00015,2023-05-03,2023-05-03 00:07:00,2023-05-03 00:12:00,5,17,Paid,Weekday,Wednesday,0,0
S0000220,U00015,2023-04-21,2023-04-21 14:53:00,2023-04-21 14:54:00,1,18,Organic,Weekday,Friday,0,14
S0000221,U00015,2023-04-29,2023-04-29 07:42:00,2023-04-29 08:02:00,20,12,Paid,Weekend,Saturday,1,7
