user_id,signup_month,last_active_date,last_active_missing,total_sessions,active_months,has_sessions,churned,churn_date,customer_lifetime_days
U00087,2023-08-01,2023-11-24 21:10:00,0,9,3,1,0,,115
U00088,2023-08-01,2023-12-21 14:25:00,0,12,5,1,0,,142
U00089,2023-08-01,2023-12-10 12:53:00,0,22,5,1,0,,131
U00090,2023-01-01,2023-05-24 21:26:00,0,17,4,1,1,2023-03-27,143
U00091,2023-02-01,2023-06-16 23:23:00,0,16,5,1,0,,135
U00092,2023-07-01,2023-11-09 22:26:00,0,16,5,1,0,,131
U00093,2023-04-01,2023-08-12 13:06:00,0,11,5,1,0,,133
U00094,2023-03-01,2023-07-23 20:51:00,0,24,5,1,1,2023-06-02,144
U00095,2023-07-01,2023-11-07 08:31:00,0,11,5,1,0,,129
U00096,2023-05-01,2023-09-24 18:33:00,0,16,4,1,1,2023-09-12,146
U00097,2023-10-01,2024-02-08 23:08:00,0,13,5,1,0,,130
U00098,2023-04-01,2023-07-27 15:01:00,0,11,4,1,0,,117
U00099,2023-01-01,2023-05-26 20:10:00,0,18,4,1,0,,145
U00100,2023-10-01,2024-02-01 16:02:00,0,12,5,1,0,,123
U00101,2023-06-01,2023-10-08 08:51:00,0,17,5,1,0,,129
U00102,2023-10-01,2024-02-21 03:44:00,0,14,4,1,0,,143
U00103,2023-09-01,2024-01-23 01:51:00,0,16,4,1,1,2023-10-14,144
U00104,2023-09-01,2024-01-08 09:12:00,0,18,5,1,0,,129
U00105,2023-02-01,2023-05-14 07:55:00,0,17,4,1,0,,102
U00106,2023-05-01,2023-08-14 14:32:00,0,12,4,1,1,2023-08-29,105
U00107,2023-10-01,2024-02-07 21:01:00,0,18,5,1,1,2024-01-22,129
U00108,2023-01-01,2023-05-11 16:04:00,0,19,4,1,0,,130
U00109,2023-08-01,2023-11-30 15:48:00,0,23,4,1,0,,121
U00110,2023-09-01,2024-01-16 20:22:00,0,20,5,1,0,,137
U00111,2023-04-01,2023-07-27 15:22:00,0,12,3,1,0,,117
U00112,2023-05-01,2023-08-29 17:52:00,0,11,4,1,1,2023-08-13,120
U00113,2023-06-01,2023-09-18 14:47:00,0,9,4,1,0,,109
U00114,2023-02-01,2023-05-27 17:01:00,0,11,4,1,1,2023-03-01,115
U00115,2023-10-01,2024-02-08 20:27:00,0,17,5,1,1,2024-01-28,130
U00116,2023-10-01,2024-01-21 13:09:00,0,8,4,1,0,,112
U00117,2023-05-01,2023-09-13 05:24:00,0,18,5,1,0,,135
U00118,2023-02-01,2023-05-31 04:31:00,0,17,4,1,0,,119
U00119,2023-05-01,2023-09-16 15:06:00,0,19,5,1,1,2023-06-23,138
U00120,2023-10-01,2024-01-20 12:44:00,0,11,4,1,1,2023-12-26,111
U00121,2023-09-01,2024-01-21 15:13:00,0,18,4,1,0,,142
U00122,2023-10-01,2024-02-01 05:11:00,0,20,5,1,0,,123
U00123,2023-02-01,2023-06-13 22:33:00,0,23,5,1,0,,132
U00124,2023-03-01,2023-06-06 04:29:00,0,10,4,1,0,,97
U00125,2023-10-01,2024-02-06 11:30:00,0,13,4,1,0,,128
U00126,2023-05-01,2023-08-31 21:27:00,0,17,4,1,0,,122
U00127,2023-06-01,2023-10-14 22:47:00,0,17,5,1,0,,135
U00128,2023-05-01,2023-09-09 17:16:00,0,16,5,1,1,2023-07-02,131
U00129,2023-05-01,2023-08-31 11:51:00,0,22,4,1,1,2023-08-14,122
U00130,2023-08-01,2023-11-19 06:11:00,0,14,4,1,0,,110
U00131,2023-01-01,2023-05-02 15:31:00,0,16,5,1,0,,121
U00132,2023-05-01,2023-08-31 17:44:00,0,13,4,1,0,,122
U00133,2023-08-01,2023-12-11 13:01:00,0,20,5,1,1,2023-10-28,132
U00134,2023-08-01,2023-11-30 21:59:00,0,11,4,1,0,,121
U00135,2023-02-01,2023-06-26 19:30:00,0,10,4,1,0,,145
U00136,2023-03-01,2023-07-11 21:17:00,0,7,3,1,1,2023-07-03,132
U00137,2023-07-01,2023-10-15 05:19:00,0,12,4,1,0,,106
U00138,2023-03-01,2023-07-11 15:11:00,0,16,5,1,0,,132
U00139,2023-01-01,2023-05-19 22:55:00,0,17,5,1,1,2023-05-19,138
U00140,2023-01-01,2023-05-09 10:58:00,0,16,5,1,0,,128
U00141,2023-05-01,2023-09-05 16:52:00,0,16,4,1,1,2023-09-02,127
U00142,2023-10-01,2024-02-03 03:15:00,0,19,5,1,0,,125
U00143,2023-03-01,2023-07-12 17:27:00,0,20,5,1,0,,133
U00144,2023-04-01,2023-07-27 21:25:00,0,19,4,1,1,2023-07-28,117
U00145,2023-04-01,2023-07-30 00:00:00,0,13,4,1,0,,120
U00146,2023-05-01,2023-08-27 19:13:00,0,14,4,1,0,,118
U00147,2023-02-01,2023-06-19 06:25:00,0,14,5,1,1,2023-05-21,138
U00148,2023-08-01,2023-12-13 21:32:00,0,11,4,1,1,2023-10-26,134
U00149,2023-08-01,2023-12-18 04:41:00,0,19,4,1,0,,139
U00150,2023-04-01,2023-08-17 04:40:00,0,11,5,1,0,,138
U00151,2023-04-01,2023-07-31 13:52:00,0,16,4,1,0,,121
U00152,2023-05-01,2023-09-16 08:10:00,0,10,4,1,0,,138
U00153,2023-06-01,2023-08-30 20:19:00,0,6,3,1,1,2023-08-20,90
U00154,2023-10-01,2024-01-07 07:30:00,0,12,4,1,0,,98
U00155,2023-03-01,2023-06-28 19:13:00,0,24,4,1,0,,119
U00156,2023-10-01,2024-02-02 00:17:00,0,16,4,1,1,2024-02-02,124
U00157,2023-02-01,2023-06-20 14:59:00,0,11,3,1,0,,139
U00158,2023-06-01,2023-10-23 12:53:00,0,16,5,1,1,2023-10-05,144
U00159,2023-09-01,2024-01-15 13:31:00,0,16,4,1,0,,136
U00160,2023-10-01,2024-02-09 08:52:00,0,14,5,1,0,,131
U00161,2023-01-01,2023-05-23 22:55:00,0,17,5,1,0,,142
U00162,2023-09-01,2024-01-06 07:49:00,0,11,4,1,0,,127
U00163,2023-04-01,2023-08-04 14:33:00,0,14,5,1,0,,125
U00164,2023-02-01,2023-06-04 16:52:00,0,22,5,1,1,2023-05-25,123
U00165,2023-06-01,2023-10-07 17:55:00,0,8,5,1,0,,128
U00166,2023-06-01,2023-09-28 19:25:00,0,24,4,1,0,,119
U00167,2023-07-01,2023-11-18 09:48:00,0,9,4,1,1,2023-11-22,140
U00168,2023-06-01,2023-09-22 03:39:00,0,13,4,1,0,,113
U00169,2023-04-01,2023-06-16 11:22:00,0,8,3,1,0,,76
U00170,2023-07-01,2023-11-11 08:13:00,0,8,5,1,0,,133
U00171,2023-10-01,2024-02-14 03:06:00,0,19,4,1,0,,136
U00172,2023-10-01,2024-01-18 04:18:00,0,19,4,1,0,,109
U00173,2023-05-01,2023-09-09 05:48:00,0,11,4,1,1,2023-06-24,131
U00174,2023-10-01,2024-02-19 04:10:00,0,22,5,1,0,,141
U00175,2023-06-01,2023-10-01 01:11:00,0,10,5,1,0,,122
U00176,2023-08-01,2023-12-06 01:58:00,0,11,5,1,1,2023-12-02,127
U00177,2023-08-01,2023-12-28 01:14:00,0,10,4,1,1,2023-12-25,149
U00178,2023-02-01,2023-06-12 00:32:00,0,21,5,1,1,2023-05-21,131
U00179,2023-06-01,2023-10-13 19:09:00,0,12,4,1,0,,134
U00180,2023-06-01,2023-09-22 23:24:00,0,16,4,1,0,,113
U00181,2023-03-01,2023-07-14 05:50:00,0,19,5,1,1,2023-04-02,135
U00182,2023-05-01,2023-09-02 14:19:00,0,14,5,1,0,,124
U00183,2023-02-01,2023-06-06 03:34:00,0,15,5,1,1,2023-05-21,125
U00184,2023-10-01,2024-02-17 06:06:00,0,12,4,1,1,2024-02-09,139
U00185,2023-07-01,2023-11-12 17:52:00,0,26,5,1,0,,134
U00186,2023-05-01,2023-08-21 10:49:00,0,14,4,1,0,,112
U00187,2023-01-01,2023-05-02 00:12:00,0,16,5,1,0,,121
U00188,2023-04-01,2023-08-14 03:04:00,0,12,4,1,0,,135
U00189,2023-09-01,2024-01-17 20:59:00,0,14,4,1,1,2023-10-28,138
U00190,2023-10-01,2024-01-22 19:42:00,0,7,3,1,0,,113
U00191,2023-08-01,2023-12-13 15:53:00,0,14,4,1,0,,134
U00192,2023-09-01,2024-01-27 20:01:00,0,7,4,1,1,2023-12-19,148
U00193,2023-06-01,2023-10-09 08:29:00,0,19,5,1,0,,130
U00194,2023-09-01,2024-01-10 13:50:00,0,17,5,1,1,2023-11-23,131
U00195,2023-08-01,2023-11-27 13:40:00,0,13,4,1,1,2023-11-22,118
U00196,2023-09-01,2023-12-28 08:40:00,0,13,4,1,0,,118
U00197,2023-05-01,2023-08-20 19:12:00,0,8,3,1,0,,111
U00198,2023-09-01,2024-01-04 02:51:00,0,14,5,1,0,,125
U00199,2023-08-01,2023-12-10 22:34:00,0,10,5,1,0,,131
U00200,2023-05-01,2023-09-17 20:38:00,0,13,4,1,0,,139
U00201,2023-06-01,2023-10-16 08:41:00,0,12,4,1,0,,137
U00202,2023-02-01,2023-06-10 17:17:00,0,21,5,1,0,,129
U00203,2023-04-01,2023-08-10 04:38:00,0,10,4,1,0,,131
U00204,2023-03-01,2023-07-16 01:49:00,0,13,5,1,0,,137
U00205,2023-08-01,2023-11-28 00:27:00,0,13,4,1,0,,119
U00206,2023-10-01,2024-02-02 06:36:00,0,17,5,1,1,2023-12-09,124
U00207,2023-02-01,2023-05-25 23:34:00,0,9,4,1,0,,113
U00208,2023-07-01,2023-11-11 06:57:00,0,14,5,1,1,2023-10-04,133
U00209,2023-01-01,2023-05-08 08:01:00,0,10,4,1,1,2023-04-30,127
U00210,2023-09-01,2023-12-25 12:52:00,0,16,4,1,1,2023-11-27,115
U00211,2023-06-01,2023-09-25 11:40:00,0,21,4,1,1,2023-07-17,116
U00212,2023-10-01,2024-01-24 03:43:00,0,13,4,1,1,2023-11-07,115
U00213,2023-04-01,2023-08-19 04:49:00,0,13,4,1,0,,140
U00214,2023-05-01,2023-08-18 15:11:00,0,12,3,1,1,2023-06-25,109
U00215,2023-01-01,2023-05-12 01:43:00,0,15,5,1,1,2023-03-28,131
U00216,2023-07-01,2023-11-17 07:26:00,0,18,5,1,1,2023-11-05,139
U00217,2023-03-01,2023-07-03 00:13:00,0,13,5,1,0,,124
U00218,2023-01-01,2023-05-14 05:16:00,0,12,5,1,0,,133
U00219,2023-10-01,2024-02-06 23:24:00,0,23,5,1,0,,128
U00220,2023-08-01,2023-11-23 14:15:00,0,14,4,1,1,2023-11-06,114
U00221,2023-04-01,2023-07-26 12:28:00,0,13,4,1,0,,116
U00222,2023-07-01,2023-11-10 20:17:00,0,12,5,1,0,,132
U00223,2023-08-01,2023-12-14 00:37:00,0,14,4,1,0,,135
U00224,2023-07-01,2023-10-27 05:02:00,0,12,3,1,0,,118
U00225,2023-05-01,2023-08-18 12:05:00,0,12,4,1,0,,109
U00226,2023-01-01,2023-04-17 17:15:00,0,12,4,1,0,,106
U00227,2023-06-01,2023-10-20 22:31:00,0,13,4,1,1,2023-09-30,141
U00228,2023-02-01,2023-06-04 21:22:00,0,16,5,1,1,2023-03-13,123
U00229,2023-05-01,2023-09-03 07:05:00,0,12,5,1,0,,125
U00230,2023-03-01,2023-07-07 10:43:00,0,10,5,1,0,,128
U00231,2023-08-01,2023-12-29 08:49:00,0,13,4,1,0,,150
U00232,2023-04-01,2023-08-20 14:41:00,0,15,4,1,0,,141
U00233,2023-05-01,2023-08-26 00:57:00,0,12,3,1,0,,117
U00234,2023-02-01,2023-06-24 07:52:00,0,11,3,1,0,,143
U00235,2023-02-01,2023-06-16 15:02:00,0,13,4,1,0,,135
U00236,2023-06-01,2023-09-15 02:36:00,0,13,4,1,0,,106
U00237,2023-07-01,2023-11-06 16:59:00,0,11,5,1,0,,128
U00238,2023-04-01,2023-08-03 13:37:00,0,18,5,1,0,,124
U00239,2023-05-01,2023-08-30 19:23:00,0,13,4,1,0,,121
U00240,2023-06-01,2023-10-01 12:07:00,0,20,5,1,0,,122
U00241,2023-10-01,2024-02-09 18:22:00,0,18,4,1,1,2023-11-17,131
U00242,2023-09-01,2024-01-28 21:30:00,0,17,4,1,1,2023-10-22,149
U00243,2023-07-01,2023-11-03 00:26:00,0,17,5,1,1,2023-09-11,125
U00244,2023-06-01,2023-10-21 02:19:00,0,13,5,1,0,,142
U00245,2023-09-01,2023-12-10 08:24:00,0,9,4,1,0,,100
U00246,2023-07-01,2023-10-31 11:10:00,0,14,4,1,0,,122
U00247,2023-03-01,2023-07-17 05:32:00,0,15,5,1,0,,138
U00248,2023-09-01,2024-01-21 11:13:00,0,11,4,1,1,2024-01-10,142
U00249,2023-10-01,2024-01-26 11:42:00,0,20,4,1,1,2023-12-06,117
U00250,2023-08-01,2023-12-07 10:13:00,0,16,5,1,1,2023-09-13,128
U00251,2023-06-01,2023-10-10 00:07:00,0,18,5,1,0,,131
U00252,2023-05-01,2023-09-18 04:55:00,0,19,5,1,0,,140
U00253,2023-08-01,2023-12-06 08:39:00,0,14,5,1,0,,127
U00254,2023-07-01,2023-10-31 04:29:00,0,14,4,1,1,2023-08-28,122
U00255,2023-09-01,2024-01-05 00:19:00,0,20,5,1,0,,126
U00256,2023-09-01,2023-12-29 03:18:00,0,14,4,1,0,,119
U00257,2023-05-01,2023-09-10 19:37:00,0,17,5,1,0,,132
U00258,2023-05-01,2023-09-15 08:49:00,0,17,5,1,0,,137
U00259,2023-09-01,2024-01-20 10:50:00,0,15,5,1,0,,141
U00260,2023-05-01,2023-08-22 01:00:00,0,14,4,1,0,,113
U00261,2023-10-01,2024-02-06 16:12:00,0,13,4,1,1,2023-10-27,128
U00262,2023-09-01,2023-12-24 06:55:00,0,16,4,1,0,,114
U00263,2023-01-01,2023-04-26 13:52:00,0,14,4,1,1,2023-03-10,115
U00264,2023-04-01,2023-08-18 16:49:00,0,14,5,1,1,2023-06-20,139
U00265,2023-05-01,2023-08-30 13:41:00,0,14,4,1,0,,121
U00266,2023-10-01,2024-02-02 00:52:00,0,11,4,1,0,,124
U00267,2023-10-01,2024-01-25 12:39:00,0,10,3,1,0,,116
U00268,2023-08-01,2023-12-01 09:32:00,0,13,5,1,0,,122
U00269,2023-06-01,2023-10-23 12:40:00,0,20,4,1,0,,144
U00270,2023-06-01,2023-09-23 09:21:00,0,24,4,1,0,,114
U00271,2023-03-01,2023-06-23 08:00:00,0,17,4,1,0,,114
U00272,2023-03-01,2023-06-30 21:41:00,0,12,4,1,0,,121
U00273,2023-04-01,2023-07-20 01:52:00,0,11,4,1,0,,110
U00274,2023-09-01,2024-01-02 21:04:00,0,12,5,1,0,,123
U00275,2023-09-01,2024-01-17 10:40:00,0,11,4,1,0,,138
U00276,2023-02-01,2023-06-10 11:59:00,0,11,3,1,1,2023-03-08,129
U00277,2023-04-01,2023-08-14 19:08:00,0,23,4,1,0,,135
U00278,2023-06-01,2023-09-16 18:18:00,0,18,4,1,0,,107
U00279,2023-10-01,2024-01-26 22:27:00,0,9,4,1,1,2024-01-24,117
U00280,2023-01-01,2023-05-22 14:22:00,0,12,4,1,0,,141
U00281,2023-05-01,2023-09-23 09:05:00,0,13,5,1,0,,145
U00282,2023-09-01,2024-01-03 22:45:00,0,15,5,1,0,,124
U00283,2023-10-01,2024-02-18 18:36:00,0,17,4,1,0,,140
U00284,2023-09-01,2023-12-30 00:10:00,0,18,4,1,0,,120
U00285,2023-04-01,2023-07-31 23:29:00,0,21,4,1,0,,121
U00286,2023-09-01,2023-12-28 21:51:00,0,20,4,1,1,2023-12-03,118
U00287,2023-07-01,2023-11-21 10:04:00,0,19,5,1,0,,143
U00288,2023-10-01,2024-02-18 11:14:00,0,11,5,1,0,,140
U00289,2023-03-01,2023-07-15 02:43:00,0,16,5,1,0,,136
U00290,2023-02-01,2023-05-12 20:36:00,0,9,4,1,0,,100
U00291,2023-10-01,2024-02-03 20:45:00,0,17,5,1,1,2023-12-10,125
U00292,2023-04-01,2023-08-22 10:11:00,0,15,4,1,1,2023-07-14,143
U00293,2023-08-01,2023-12-14 10:22:00,0,15,5,1,0,,135
U00294,2023-08-01,2023-11-28 04:48:00,0,19,4,1,1,2023-10-14,119
U00295,2023-01-01,2023-05-20 04:31:00,0,14,4,1,0,,139
U00296,2023-02-01,2023-06-17 01:26:00,0,12,4,1,0,,136
U00297,2023-04-01,2023-08-11 14:39:00,0,13,5,1,0,,132
U00298,2023-02-01,2023-06-10 14:20:00,0,19,5,1,1,2023-02-26,129
U00299,2023-03-01,2023-07-20 18:39:00,0,11,4,1,0,,141
U00300,2023-03-01,2023-07-15 07:26:00,0,16,5,1,0,,136
U00301,2023-08-01,2023-12-09 15:22:00,0,16,4,1,0,,130
U00302,2023-05-01,2023-09-24 22:35:00,0,13,4,1,0,,146
U00303,2023-05-01,2023-09-15 15:26:00,0,17,5,1,0,,137
U00304,2023-08-01,2023-12-04 10:48:00,0,17,5,1,0,,125
U00305,2023-04-01,2023-08-18 14:36:00,0,10,4,1,1,2023-08-07,139
U00306,2023-04-01,2023-08-08 02:27:00,0,15,5,1,0,,129
U00307,2023-10-01,2024-01-17 19:54:00,0,8,4,1,0,,108
U00308,2023-03-01,2023-07-14 13:55:00,0,16,5,1,0,,135
U00309,2023-02-01,2023-05-27 22:00:00,0,11,4,1,1,2023-05-22,115
U00310,2023-06-01,2023-10-05 03:15:00,0,12,5,1,0,,126
U00311,2023-10-01,2024-02-14 04:03:00,0,17,5,1,0,,136
U00312,2023-03-01,2023-06-14 16:54:00,0,10,4,1,1,2023-03-21,105
U00313,2023-06-01,2023-08-28 12:56:00,0,9,3,1,0,,88
U00314,2023-09-01,2024-01-09 13:43:00,0,16,5,1,0,,130
U00315,2023-08-01,2023-12-10 08:24:00,0,15,5,1,0,,131
U00316,2023-01-01,2023-05-20 22:23:00,0,13,4,1,0,,139
U00317,2023-06-01,2023-10-08 15:10:00,0,9,5,1,1,2023-07-30,129
U00318,2023-01-01,2023-04-19 04:48:00,0,16,4,1,0,,108
U00319,2023-10-01,2024-02-14 13:51:00,0,12,5,1,1,2023-12-26,136
U00320,2023-05-01,2023-08-28 07:24:00,0,17,4,1,0,,119
U00321,2023-03-01,2023-07-27 15:04:00,0,16,4,1,1,2023-05-29,148
U00322,2023-08-01,2023-12-05 11:38:00,0,15,5,1,0,,126
U00323,2023-10-01,2024-02-18 23:04:00,0,23,5,1,1,2024-01-16,140
U00324,2023-09-01,2024-01-06 07:20:00,0,15,5,1,0,,127
U00325,2023-06-01,2023-10-24 14:31:00,0,27,5,1,0,,145
U00326,2023-06-01,2023-09-29 00:16:00,0,15,4,1,0,,120
U00327,2023-06-01,2023-10-15 09:36:00,0,12,5,1,0,,136
U00328,2023-09-01,2024-01-03 03:02:00,0,18,5,1,0,,124
U00329,2023-07-01,2023-11-14 03:54:00,0,9,4,1,0,,136
U00330,2023-08-01,2023-12-11 20:29:00,0,15,5,1,0,,132
U00331,2023-05-01,2023-09-05 08:03:00,0,14,5,1,0,,127
U00332,2023-07-01,2023-11-19 19:00:00,0,11,4,1,1,2023-10-05,141
U00333,2023-10-01,2024-01-19 21:21:00,0,16,4,1,0,,110
U00334,2023-01-01,2023-05-13 14:17:00,0,9,4,1,1,2023-04-20,132
U00335,2023-07-01,2023-10-31 00:58:00,0,15,4,1,0,,122
U00336,2023-08-01,2023-11-29 12:12:00,0,17,4,1,0,,120
U00337,2023-05-01,2023-09-12 21:06:00,0,18,4,1,1,2023-06-06,134
U00338,2023-05-01,2023-09-24 15:57:00,0,16,5,1,0,,146
U00339,2023-09-01,2023-12-10 10:34:00,0,8,4,1,0,,100
U00340,2023-05-01,2023-08-22 00:56:00,0,18,4,1,0,,113
U00341,2023-10-01,2024-01-31 13:00:00,0,16,4,1,1,2023-11-07,122
U00342,2023-07-01,2023-11-23 00:44:00,0,15,5,1,0,,145
U00343,2023-02-01,2023-06-28 00:19:00,0,20,4,1,0,,147
U00344,2023-03-01,2023-07-13 03:37:00,0,16,5,1,1,2023-06-23,134
U00345,2023-05-01,2023-09-24 01:05:00,0,13,4,1,1,2023-07-26,146
U00346,2023-05-01,2023-09-11 03:06:00,0,12,4,1,1,2023-09-07,133
U00347,2023-08-01,2023-12-14 02:13:00,0,19,4,1,1,2023-10-11,135
U00348,2023-10-01,2024-02-07 21:10:00,0,7,4,1,0,,129
U00349,2023-04-01,2023-08-05 15:17:00,0,18,5,1,1,2023-05-19,126
U00350,2023-03-01,2023-07-04 06:04:00,0,13,4,1,0,,125
U00351,2023-08-01,2023-11-24 18:55:00,0,21,4,1,1,2023-09-28,115
U00352,2023-05-01,2023-09-10 06:50:00,0,15,5,1,1,2023-09-01,132
U00353,2023-06-01,2023-09-15 14:23:00,0,8,4,1,0,,106
U00354,2023-09-01,2024-01-02 09:45:00,0,18,5,1,0,,123
U00355,2023-10-01,2024-01-28 05:49:00,0,18,4,1,0,,119
U00356,2023-06-01,2023-10-16 04:17:00,0,17,5,1,0,,137
U00357,2023-07-01,2023-10-29 10:15:00,0,17,4,1,0,,120
U00358,2023-04-01,2023-07-25 17:47:00,0,20,4,1,0,,115
U00359,2023-07-01,2023-11-13 22:36:00,0,16,5,1,0,,135
